	ra	dec	mag	x	y	z
65798	3.542864618041388	-0.10918458659894159	4.68	-0.9150832352008813	-0.38826369346411	-0.10896777960432248
65890	3.5472416420060022	-0.17741271846522358	5.21	-0.9044239401677528	-0.38842105031953367	-0.17648349531927163
65991	3.5523218591262444	0.06386102137181936	4.92	-0.914961061646499	-0.3984640090615072	0.0638176241593384
66025	3.553730339832604	0.8554901149186425	4.68	-0.6009329662850172	-0.2627108070273917	0.7548924439301978
66040	3.554769683402167	-0.010399020749232615	3.38	-0.9158002833377569	-0.40149932167059366	-0.010398833421947966
66048	3.5552207637473443	0.6489555655929273	4.91	-0.7295269905161686	-0.32022782528551824	0.6043546227351367
66249	3.566845180164403	0.6334654717755048	4.82	-0.7341963028701951	-0.3325073980099572	0.5919413983836447
66424	3.5757796078718243	0.9236493237327632	5.46	-0.5469708205770627	-0.25362701782890024	0.7978071554357442
66447	3.577435227200266	-0.933164614468541	2.29	-0.5396430273577144	-0.2513176498007773	-0.8035078356324941
66527	3.581145186324768	0.9543745536704769	4.63	-0.5231645957848866	-0.24600940642857122	0.8159523133528689
66591	3.584962744997654	-0.15189572554838615	5.03	-0.892910351213843	-0.4240468016047026	-0.15131230863348014
66609	3.585545510434896	-0.9522416042449072	4.99	-0.5236476914029708	-0.24905563608689146	-0.8147173653615669
66637	3.586731985260401	-1.0260280687267231	5.38	-0.46772002208581426	-0.22313639829584717	-0.85524740788593
66724	3.5912849384136165	0.06174805596618495	5.35	-0.8988645945057362	-0.4338599570364092	0.06170881966464215
66941	3.6027446830157484	-0.5767217285603933	4.23	-0.7506923882833969	-0.37300390904260067	-0.5452788479414079
67023	3.606968292539112	-0.8976711101077939	4.64	-0.5571323457231	-0.2797708266946872	-0.7818771219825066
67032	3.6082029384519734	-0.6327155910623855	5.15	-0.7202165131551026	-0.3627794110114886	-0.5913368525002172
67063	3.6096140371522103	0.30468048691115324	4.5	-0.8513587720158906	-0.43034314400136764	0.29998836597877065
67076	3.6103146123139607	-0.31171299442609157	5.41	-0.8491534172708383	-0.42997675127135826	-0.306689529171418
67088	3.61082983350915	0.8606788391584815	1.85	-0.5814595893994826	-0.2948018997795631	0.7582852931329642
67091	3.6112743688696325	-0.8782615827490452	5.46	-0.5693504582771506	-0.28898026072248106	-0.7696300829439853
67244	3.6191385606797315	-0.6012794710670419	4.19	-0.7323595635710672	-0.37899239892924796	-0.565698003531787
67246	3.6192778379540407	0.27572545716727476	4.05	-0.8545176318469729	-0.44235985911758857	0.272245058548559
67251	3.619396956675489	-0.7275877796632729	3.41	-0.663146516703736	-0.3433924279042012	-0.665070175125723
67259	3.6198852125337346	-0.7413064690096761	3.47	-0.6548166671194332	-0.3394844688750396	-0.6752521216962075
67267	3.6203095893413577	0.3711286447397888	4.92	-0.8271584720212557	-0.42927982194737585	0.36266747391004184
67281	3.6209973363331054	-0.31650093870979507	4.96	-0.8431993835210855	-0.43834059082994437	-0.31124319440032194
67414	3.627807785607312	1.1296341990638552	4.58	-0.3775057088459	-0.19952550824719886	0.9042560540839367
67451	3.629374131344515	0.6011653963471316	4.76	-0.7284989314151785	-0.3864990206768148	0.5656039373473334
67455	3.6295288547827043	-0.5758554867460434	4.32	-0.7408493440900292	-0.39319817584864125	-0.5445525170914872
67489	3.630639407785748	-0.921735081515761	5.26	-0.5335874413157887	-0.28395549952666843	-0.7966515654654988
67572	3.635560189078821	-0.5572419516992518	4.75	-0.7472602602854732	-0.4023959705972097	-0.5288474130079642
67711	3.641998883222353	0.3211007365001336	2.68	-0.8325432638826997	-0.4552595335743532	0.31561126540921164
67713	3.642076375841141	-0.026234480319039768	5.16	-0.8770485973101251	-0.47968496739094285	-0.026231469945320513
67786	3.645731095294818	-0.8253378416677736	2.55	-0.5939214041751424	-0.3276585830939336	-0.7347769856136643
67885	3.6502235727894514	0.4798273491282677	5.02	-0.7747815477804331	-0.4319895353484632	0.461626033243767
67973	3.654931249380855	-1.1115425349167025	4.71	-0.38614544794641725	-0.21768847243569153	-0.8963835239443415
68027	3.657647941628047	-0.7347967574188803	3.83	-0.6453425958542142	-0.3661256703958896	-0.6704363709206898
68051	3.6587299584978217	-0.4358479666778614	5.2	-0.787975127158616	-0.4481739532277515	-0.4221792351923201
68064	3.659428439264469	-0.7819700574938512	3.87	-0.6165025167781311	-0.35121606323103216	-0.7046785960526444
68302	3.672375989787464	0.02695716880241306	4.23	-0.862097523814925	-0.5060250452993572	0.026953904391725333
68305	3.672717637988542	-0.795929846623125	4.34	-0.6032393445849281	-0.35436054225470326	-0.7145144499852323
68363	3.675574916506982	-0.4787398519246425	5.47	-0.764014114987916	-0.4517453020996192	-0.46066106209463276
68483	3.6818756423731442	-1.053708309984945	0.61	-0.4239375397412342	-0.25428297968362074	-0.8692624049395953
68537	3.6843459813964166	1.1235705412699917	3.67	-0.37031681806396805	-0.2233655018345204	0.9016503240442998
68642	3.6915729534966126	-0.7187201806129101	4.36	-0.6416596302983896	-0.3933871523028817	-0.6584219522831565
68675	3.692992691576647	-0.4656950516557267	3.25	-0.7610842307699559	-0.4680922143543225	-0.4490439539000294
68714	3.694354571991979	-0.6347754460988817	2.06	-0.6852941127872652	-0.42276100703960434	-0.592996719979103
68720	3.6944857334852657	-0.16255150168387966	5.46	-0.8397905040756491	-0.5182285447069662	-0.16183659881271273
68818	3.6997892654833016	0.7654045790578123	5.13	-0.6116471787686807	-0.3819371367582577	0.692828804445382
68848	3.7013577056156057	0.8632078561512063	5.26	-0.5508000121809863	-0.3451424782133393	0.7599315866011757
68892	3.703806315289691	1.353459446036398	4.8	-0.18244010455206708	-0.11494290054036105	0.9764751598819089
68971	3.7084516836267993	-0.9326855564954536	4.74	-0.5025112435030746	-0.3198686664273423	-0.8032225634224848
69004	3.710565190084501	0.43793237849693323	4.82	-0.7629528591580828	-0.4879235247746094	0.42406788215335045
69047	3.7124959605695205	-0.2845240982588912	4.93	-0.8075843891697154	-0.5186661388717164	-0.2807007138524643
